LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,TOTAL_BILL,TOTAL_PAYMENT,PAYMENT_BILL_RATIO,CREDIT_UTILIZATION,AVERAGE_PAYMENT,AVERAGE_BILL,MAX_PAYMENT_DELAY
130000,2,3,2,39,0,0,0,0,0,-1,38358,27688,24489,20616,11802,930,3000,1537,1000,2000,930,33764,123883,42231,0.34089423084684745,0.2950615384615385,7038.5,20647.166666666668,0
120000,2,2,1,39,-1,-1,-1,-1,-1,-1,316,316,316,0,632,316,316,316,0,632,316,0,1896,1580,0.8333333333333334,0.0026333333333333334,263.3333333333333,316.0,-1
70000,2,2,2,26,2,0,0,2,2,2,41087,42445,45020,44006,46905,46012,2007,3582,0,3601,0,1820,265475,11010,0.04147283171673415,0.5869571428571428,1835.0,44245.833333333336,2
450000,2,1,1,40,-2,-2,-2,-2,-2,-2,5512,19420,1473,560,0,0,19428,1473,560,0,0,1128,26965,22589,0.8377155572037827,0.012248888888888889,3764.8333333333335,4494.166666666667,-2
90000,1,1,2,23,0,0,0,-1,0,0,4744,7070,0,5398,6360,8292,5757,0,5398,1200,2045,2000,31864,16400,0.5146874215415516,0.05271111111111111,2733.3333333333335,5310.666666666667,0
50000,1,3,2,23,0,0,0,0,0,0,47620,41810,36023,28967,29829,30046,1973,1426,1001,1432,1062,997,214295,7891,0.036823071000256655,0.9524,1315.1666666666667,35715.833333333336,0
60000,1,1,2,27,1,-2,-1,-1,-1,-1,-109,-425,259,-57,127,-189,0,1000,0,500,0,1000,-394,2500,-6.345177664974619,-0.0018166666666666667,416.6666666666667,-65.66666666666667,1
50000,2,3,2,30,0,0,0,0,0,0,22541,16138,17163,17878,18931,19617,1300,1300,1000,1500,1000,1012,112268,7112,0.06334841628959276,0.45082,1185.3333333333333,18711.333333333332,0
50000,2,3,1,47,-1,-1,-1,-1,-1,-1,650,3415,3416,2040,30430,257,3415,3421,2044,30430,257,0,40208,39567,0.9840578989255869,0.013,6594.5,6701.333333333333,-1
50000,1,1,2,26,0,0,0,0,0,0,15329,16575,17496,17907,18375,11400,1500,1500,1000,1000,1600,0,97082,6600,0.06798376630065306,0.30658,1100.0,16180.333333333334,0
230000,2,1,2,27,-1,-1,-1,-1,-1,-1,16646,17265,13266,15339,14307,36923,17270,13281,15339,14307,37292,0,113746,97489,0.8570762927927136,0.07237391304347826,16248.166666666666,18957.666666666668,-1
50000,1,2,2,33,2,0,0,0,0,0,30518,29618,22102,22734,23217,23680,1718,1500,1000,1000,1000,716,151869,6934,0.04565777084197565,0.61036,1155.6666666666667,25311.5,2
100000,1,1,2,32,0,0,0,0,0,0,93036,84071,82880,80958,78703,75589,3023,3511,3302,3204,3200,2504,495237,18744,0.037848545241975055,0.93036,3124.0,82539.5,0
500000,2,2,1,54,-2,-2,-2,-2,-2,-2,10929,4152,22722,7521,71439,8981,4152,22827,7521,71439,981,51582,125744,158502,1.2605134240997582,0.021858,26417.0,20957.333333333332,-2
500000,1,1,1,58,-2,-2,-2,-2,-2,-2,13709,5006,31130,3180,0,5293,5006,31178,3180,0,5293,768,58318,45425,0.7789190301450667,0.027418,7570.833333333333,9719.666666666666,-2
160000,1,1,2,30,-1,-1,-2,-2,-2,-1,30265,-131,-527,-923,-1488,-1884,131,396,396,565,792,0,25312,2280,0.09007585335018964,0.18915625,380.0,4218.666666666667,-1
280000,1,2,1,40,0,0,0,0,0,0,186503,181328,180422,170410,173901,177413,8026,8060,6300,6400,6400,6737,1069977,41923,0.03918121604483087,0.6660821428571428,6987.166666666667,178329.5,0
60000,2,2,2,22,0,0,0,0,0,-1,15054,9806,11068,6026,-28335,18660,1500,1518,2043,0,47671,617,32279,53349,1.6527463676074228,0.2509,8891.5,5379.833333333333,0
50000,1,1,2,25,1,-1,-1,-2,-2,-2,0,780,0,0,0,0,780,0,0,0,0,0,780,780,1.0,0.0,130.0,130.0,1
280000,1,1,2,31,-1,-1,2,-1,0,-1,498,9075,4641,9976,17976,9477,9075,0,9976,8000,9525,781,51643,37357,0.7233700598338594,0.0017785714285714286,6226.166666666667,8607.166666666666,2
360000,1,1,2,33,0,0,0,0,0,0,218668,221296,206895,628699,195969,179224,10000,7000,6000,188840,28000,4000,1650751,243840,0.1477145856643431,0.6074111111111111,40640.0,275125.1666666667,0
70000,2,1,2,25,0,0,0,0,0,0,67521,66999,63949,63699,64718,65970,3000,4500,4042,2500,2800,2500,392856,19342,0.049234325045309224,0.9645857142857143,3223.6666666666665,65476.0,0
10000,1,2,2,22,0,0,0,0,0,0,1877,3184,6003,3576,3670,4451,1500,2927,1000,300,1000,500,22761,7227,0.31751680506128904,0.1877,1204.5,3793.5,0
140000,2,2,1,37,0,0,0,0,0,0,59504,61544,62925,64280,67079,69802,3000,3000,3000,4000,4000,3000,385134,20000,0.05192997761817965,0.4250285714285714,3333.3333333333335,64189.0,0
40000,2,1,2,30,0,0,0,2,0,0,18927,21295,25921,25209,26636,29197,3000,5000,0,2000,3000,0,147185,13000,0.08832421782110948,0.473175,2166.6666666666665,24530.833333333332,2
210000,1,1,2,29,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-2
20000,2,1,2,22,0,0,2,-1,0,0,14028,16484,15800,16341,16675,0,3000,0,16741,334,0,0,79328,20075,0.25306323114158935,0.7014,3345.8333333333335,13221.333333333334,2
150000,2,5,2,46,0,0,-1,0,0,-2,4463,3034,1170,1170,0,0,1013,1170,0,0,0,0,9837,2183,0.22191725119446987,0.029753333333333333,363.8333333333333,1639.5,0
380000,1,2,2,32,-1,-1,-1,-1,-1,-1,22401,21540,15134,32018,11849,11873,21540,15138,24677,11851,11875,8251,114815,93332,0.8128903017898358,0.05895,15555.333333333334,19135.833333333332,-1
20000,1,1,2,24,0,0,0,0,0,0,17447,18479,19476,19865,20480,20063,1318,1315,704,928,912,1069,115810,6246,0.05393316639323029,0.87235,1041.0,19301.666666666668,0
70000,1,3,2,42,1,2,2,2,2,0,37042,36171,38355,39423,38659,39362,0,3100,2000,0,1500,1500,229012,8100,0.03536932562485809,0.5291714285714286,1350.0,38168.666666666664,2
100000,2,3,3,43,0,0,0,0,0,0,61559,51163,43824,39619,35762,33258,2000,1606,1500,2000,1500,1000,265185,9606,0.03622376831268737,0.61559,1601.0,44197.5,0
310000,2,2,1,49,-2,-2,-2,-2,-2,-2,13465,7867,7600,11185,3544,464,7875,7600,11185,3544,464,0,44125,30668,0.6950254957507083,0.04343548387096774,5111.333333333333,7354.166666666667,-2
180000,2,1,2,25,1,2,0,0,0,0,41402,41742,42758,43510,44420,45319,1300,2010,1762,1762,1790,1622,259151,10246,0.03953679515031777,0.2300111111111111,1707.6666666666667,43191.833333333336,2
150000,2,1,2,29,2,0,0,0,0,0,46224,34993,31434,26518,21042,16540,1600,1718,1049,1500,2000,5000,176751,12867,0.07279732505049476,0.30816,2144.5,29458.5,2
500000,2,1,1,45,-2,-2,-2,-2,-2,-2,1905,3640,162,0,151,2530,3640,162,0,151,2530,0,8388,6483,0.772889842632332,0.00381,1080.5,1398.0,-2
180000,2,3,1,34,0,0,0,-1,-1,-1,16386,15793,8441,7142,-679,8321,8500,1500,7500,679,9000,2000,55404,29179,0.5266587250018049,0.09103333333333333,4863.166666666667,9234.0,0
180000,2,2,1,34,0,0,0,0,0,0,175886,173440,172308,168608,132202,129918,8083,7296,5253,4814,4816,3800,952362,34062,0.03576581173965362,0.9771444444444445,5677.0,158727.0,0
200000,2,1,2,34,-1,3,2,2,2,2,1587,1098,782,1166,700,1414,0,0,700,0,1200,0,6747,1900,0.2816066399881429,0.007935,316.6666666666667,1124.5,3
400000,2,2,1,29,0,0,0,0,0,0,400134,398857,404205,360199,356656,364089,17000,15029,30000,12000,12000,23000,2284140,109029,0.047733063647587275,1.000335,18171.5,380690.0,0
500000,2,3,1,28,0,0,0,0,0,0,22848,23638,18878,14937,13827,15571,1516,1300,1000,1000,2000,2000,109699,8816,0.08036536340349502,0.045696,1469.3333333333333,18283.166666666668,0
70000,1,2,1,39,0,0,0,0,0,-1,70800,72060,69938,16518,14096,830,4025,2095,1000,2000,3000,0,244242,12120,0.049622914977767954,1.0114285714285713,2020.0,40707.0,0
50000,1,1,2,29,2,2,2,2,2,2,24987,24300,26591,25865,27667,28264,0,2700,0,2225,1200,0,157674,6125,0.03884597333739234,0.49974,1020.8333333333334,26279.0,2
50000,2,2,1,46,0,0,0,-2,-2,-2,28718,29166,0,0,0,0,1000,0,0,0,0,0,57884,1000,0.017275931172690207,0.57436,166.66666666666666,9647.333333333334,0
130000,2,2,1,51,-1,-1,-2,-2,-1,-1,99,0,0,0,2353,0,0,0,0,2353,0,0,2452,2353,0.9596247960848288,0.0007615384615384615,392.1666666666667,408.6666666666667,-1
200000,1,1,1,57,-2,-2,-2,-1,2,2,152519,148751,144076,8174,8198,7918,0,0,8222,300,0,1000,469636,9522,0.020275277023056155,0.762595,1587.0,78272.66666666667,2
10000,1,2,1,56,2,2,2,0,0,0,2097,4193,3978,4062,4196,4326,2300,0,150,200,200,160,22852,3010,0.13171713635568003,0.2097,501.6666666666667,3808.6666666666665,2
210000,2,1,2,30,2,-1,-1,-1,-1,-1,300,300,1159,2280,300,4250,300,1159,2280,300,4250,909,8589,9198,1.0709046454767726,0.0014285714285714286,1533.0,1431.5,2
130000,2,3,2,29,1,-2,-2,-1,2,-1,-190,-9850,-9850,10311,10161,7319,0,0,20161,0,7319,13899,7901,41379,5.237185166434629,-0.0014615384615384616,6896.5,1316.8333333333333,2
20000,1,5,2,22,2,0,0,0,0,0,18565,17204,17285,18085,11205,5982,0,1200,1000,500,1000,0,88326,3700,0.0418902701356339,0.92825,616.6666666666666,14721.0,2
80000,1,1,2,31,-1,-1,-1,-1,-1,-1,780,0,390,390,390,390,0,390,390,390,390,390,2340,1950,0.8333333333333334,0.00975,325.0,390.0,-1
320000,1,2,2,29,2,2,2,2,2,2,58267,59246,60184,58622,62307,63526,2500,2500,0,4800,2400,1600,362152,13800,0.0381055468422099,0.182084375,2300.0,60358.666666666664,2
200000,2,2,1,32,-1,-1,-1,-1,2,-1,9076,5787,-684,5247,3848,3151,5818,15,9102,17,3165,1395,26425,19512,0.7383916745506149,0.04538,3252.0,4404.166666666667,2
290000,2,1,2,37,1,-2,-1,-1,-1,-1,0,0,3155,0,2359,0,0,3155,0,2359,0,0,5514,5514,1.0,0.0,919.0,919.0,1
340000,1,1,2,32,-1,-1,-1,-1,-1,-1,3048,5550,23337,4291,80153,25820,5713,23453,4314,80552,25949,2016,142199,141997,0.9985794555517268,0.00896470588235294,23666.166666666668,23699.833333333332,-1
20000,1,2,2,24,0,0,2,0,0,0,14619,17216,16642,16976,17332,18543,2850,0,610,630,1500,0,101328,5590,0.055167377230380545,0.73095,931.6666666666666,16888.0,2
50000,1,3,2,25,-1,0,0,0,0,0,42838,37225,36087,9636,9590,10030,1759,1779,320,500,1000,1000,145406,6358,0.043725843500268216,0.85676,1059.6666666666667,24234.333333333332,0
300000,2,1,1,45,-1,-1,-1,-1,-1,-1,291,291,291,291,291,291,291,291,291,291,291,291,1746,1746,1.0,0.00097,291.0,291.0,-1
30000,2,2,2,22,0,0,0,0,0,0,28387,29612,30326,28004,26446,6411,1686,1400,560,3000,1765,0,149186,8411,0.05637928491949647,0.9462333333333334,1401.8333333333333,24864.333333333332,0
240000,2,2,2,44,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
470000,2,3,3,33,0,0,0,0,0,0,165254,157784,162702,69923,29271,29889,6400,7566,3000,960,1000,3000,614823,21926,0.03566229630316368,0.35160425531914896,3654.3333333333335,102470.5,0
360000,2,1,2,26,0,0,0,0,0,-1,23411,27796,30400,33100,180000,196,4796,3400,3100,146900,196,2963,294903,161355,0.5471460107221696,0.06503055555555555,26892.5,49150.5,0
60000,1,3,2,30,0,0,0,0,0,0,26324,27471,28108,21993,19899,19771,1576,1213,648,768,1140,0,143566,5345,0.03723026343284622,0.4387333333333333,890.8333333333334,23927.666666666668,0
400000,2,2,1,44,0,0,2,0,0,0,131595,139060,126819,104430,104990,94058,10700,3,3050,3000,3200,2800,700952,22753,0.03246013992398909,0.3289875,3792.1666666666665,116825.33333333333,2
50000,2,3,2,49,0,0,0,0,0,0,48909,47863,21489,20414,19342,19482,1676,1302,700,699,849,826,177499,6052,0.03409596673784078,0.97818,1008.6666666666666,29583.166666666668,0
160000,1,2,2,33,0,0,0,0,0,0,130028,107808,71934,118418,118407,120418,4400,3547,80000,4500,4800,4500,667013,101747,0.15254125481812197,0.812675,16957.833333333332,111168.83333333333,0
360000,2,1,1,45,-1,-1,2,0,-1,-1,390,1170,780,390,390,390,1170,0,0,390,390,390,3510,2340,0.6666666666666666,0.0010833333333333333,390.0,585.0,2
160000,2,2,2,32,0,0,0,0,0,-1,3826,4751,6604,8604,7072,766,1147,2000,2000,0,766,2303,31623,8216,0.2598108971318344,0.0239125,1369.3333333333333,5270.5,0
130000,2,1,1,35,0,0,0,-1,-1,-1,81313,117866,17740,1330,7095,1190,40000,5000,1330,7095,1190,2090,226534,56705,0.25031562591045936,0.6254846153846154,9450.833333333334,37755.666666666664,0
20000,1,3,2,44,2,2,0,0,0,2,8583,8303,9651,10488,12314,11970,0,1651,1000,2000,0,1500,61309,6151,0.10032784746122103,0.42915,1025.1666666666667,10218.166666666666,2
200000,1,1,1,53,2,2,2,2,2,2,138180,140774,142460,144098,147124,149531,6300,5500,5500,5500,5000,5000,862167,32800,0.03804367367342986,0.6909,5466.666666666667,143694.5,2
280000,2,1,2,39,-1,-1,-1,0,0,-2,7524,0,3968,3868,0,0,0,3968,0,0,0,0,15360,3968,0.25833333333333336,0.02687142857142857,661.3333333333334,2560.0,0
100000,2,1,2,27,-2,-2,-2,-2,-2,-2,-2000,5555,0,0,0,0,7555,0,0,0,0,0,3555,7555,2.1251758087201127,-0.02,1259.1666666666667,592.5,-2
160000,2,2,1,37,-1,-1,-1,-1,-1,-2,880,1602,840,840,0,0,1602,840,840,0,0,7736,4162,11018,2.647284959154253,0.0055,1836.3333333333333,693.6666666666666,-1
60000,2,2,2,23,0,0,0,0,0,0,45648,46850,47214,19595,19209,19323,1937,1301,682,690,816,835,197839,6261,0.031646945243354443,0.7608,1043.5,32973.166666666664,0
90000,1,2,2,35,0,0,0,0,0,0,83725,85996,87653,35565,30942,30835,3621,3597,1179,1112,1104,1143,354716,11756,0.03314200656299687,0.9302777777777778,1959.3333333333333,59119.333333333336,0
360000,1,1,1,43,-1,-1,-1,-1,-1,0,3967,8322,3394,6451,26370,9956,8339,3394,12902,27000,0,68978,58460,120613,2.0631713992473486,0.011019444444444445,20102.166666666668,9743.333333333334,0
150000,1,1,2,27,0,0,0,0,0,0,86009,86108,89006,89775,87725,40788,4031,10006,3266,4040,1698,800,479411,23841,0.04972977257509736,0.5733933333333333,3973.5,79901.83333333333,0
50000,2,3,1,22,0,0,0,0,0,0,18722,18160,16997,13150,8866,7899,1411,1194,379,281,321,197,83794,3783,0.045146430532019,0.37444,630.5,13965.666666666666,0
20000,1,2,1,38,0,0,0,0,0,-1,17973,19367,19559,18240,17928,150,1699,1460,626,1750,150,0,93217,5685,0.06098672988832509,0.89865,947.5,15536.166666666666,0
140000,1,1,2,32,-2,-2,-2,-2,-2,-2,672,10212,850,415,100,1430,10212,850,415,100,1430,0,13679,13007,0.9508736018714818,0.0048,2167.8333333333335,2279.8333333333335,-2
380000,2,1,2,30,-2,-2,-1,0,0,0,-81,-303,32475,32891,33564,34056,223,33178,1171,1197,1250,5000,132602,42019,0.3168805900363494,-0.0002131578947368421,7003.166666666667,22100.333333333332,0
480000,1,1,1,63,0,0,0,2,2,0,422069,431342,479432,487066,471145,469961,16078,55693,17000,0,18000,24200,2761015,130971,0.04743581617629748,0.8793104166666666,21828.5,460169.1666666667,2
50000,2,3,2,22,0,0,0,0,0,0,44698,42254,38347,32496,23477,24094,1767,1362,1002,840,995,904,205366,6870,0.03345247022389295,0.89396,1145.0,34227.666666666664,0
60000,2,2,2,26,2,2,2,2,2,0,56685,55208,59175,60218,55447,55305,0,5000,2511,6,3000,3000,342038,13517,0.039519000812775186,0.94475,2252.8333333333335,57006.333333333336,2
70000,2,2,2,24,-1,-1,-2,-2,-2,-1,5580,0,0,0,0,26529,0,0,0,0,26529,2000,32109,28529,0.8885047805911115,0.07971428571428571,4754.833333333333,5351.5,-1
80000,2,2,1,36,-1,-1,-1,-1,-1,-1,6108,2861,3277,3319,1150,1150,2861,3279,3319,1150,1150,1035,17865,12794,0.7161488944864259,0.07635,2132.3333333333335,2977.5,-1
350000,1,1,2,52,-1,-1,-1,-1,-1,-1,713,2272,722,867,1150,5263,2272,722,867,1150,5263,5011,10987,15285,1.3911895876945481,0.002037142857142857,2547.5,1831.1666666666667,-1
130000,1,2,2,38,0,0,0,-1,-1,-1,171438,178382,39940,120483,44127,126568,10908,0,133657,4566,133841,4796,680938,287768,0.4226052885872135,1.3187538461538462,47961.333333333336,113489.66666666667,0
360000,1,2,1,35,1,-2,-2,-2,-2,-2,-103,-103,-103,-103,-103,-103,0,0,0,0,0,0,-618,0,-0.0,-0.0002861111111111111,0.0,-103.0,1
330000,2,1,1,31,0,0,2,0,0,0,105879,108431,105594,105896,106491,107289,9260,0,3593,4100,15794,0,639580,32747,0.05120078801713625,0.32084545454545454,5457.833333333333,106596.66666666667,2
50000,1,3,1,47,0,0,2,0,0,0,13244,14722,15181,15928,16671,17393,2000,1000,1000,1000,1000,1000,93139,7000,0.07515648654162059,0.26488,1166.6666666666667,15523.166666666666,2
280000,1,2,1,41,2,2,2,2,2,3,135673,138532,134813,144401,152174,149415,6500,0,14254,14850,0,5000,855008,40604,0.04748961413226543,0.48454642857142854,6767.333333333333,142501.33333333334,3
100000,2,1,2,24,0,0,0,0,0,0,52128,52692,54477,56076,60100,59713,2000,2677,3076,5080,3000,2033,335186,17866,0.05330174887972648,0.52128,2977.6666666666665,55864.333333333336,0
50000,1,2,2,41,0,0,0,0,0,0,19015,19294,20259,20274,20311,19957,1340,1305,700,718,724,684,119110,5471,0.04593233145831584,0.3803,911.8333333333334,19851.666666666668,0
30000,1,1,2,24,-1,2,0,0,3,2,18199,17618,18631,21319,20692,21201,0,1312,3000,0,1000,1000,117660,6312,0.0536460989291178,0.6066333333333334,1052.0,19610.0,3
240000,1,1,2,28,-1,-1,-1,-1,-1,-1,326,326,326,5676,476,326,326,326,5676,476,326,526,7456,7656,1.0268240343347639,0.0013583333333333334,1276.0,1242.6666666666667,-1
80000,1,2,2,26,2,0,0,0,0,0,14029,15493,16630,17055,17629,18186,2000,1700,1000,1000,1000,1000,99022,7700,0.07776049766718507,0.1753625,1283.3333333333333,16503.666666666668,2
400000,1,2,1,34,-1,-1,-1,-1,-1,-1,19660,9666,11867,7839,14837,7959,9677,11867,7839,14837,7959,5712,71828,57891,0.8059670323550705,0.04915,9648.5,11971.333333333334,-1
240000,2,2,2,38,0,0,0,0,-1,-1,50254,51445,53015,52479,1307,1203,2000,3000,3000,1307,1203,563,209703,11073,0.05280325031115435,0.20939166666666667,1845.5,34950.5,0
50000,1,3,2,37,2,2,2,3,2,2,46004,45976,48953,48851,49318,51143,1000,4035,1000,1400,2800,0,290245,10235,0.03526331202949232,0.92008,1705.8333333333333,48374.166666666664,3
450000,1,1,1,40,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
110000,2,1,1,48,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
310000,2,2,1,35,2,0,0,0,0,0,304991,311243,306314,258610,246491,198889,13019,11128,8407,8599,6833,5987,1626538,53973,0.03318274765176098,0.983841935483871,8995.5,271089.6666666667,2
20000,1,1,2,27,0,0,0,0,0,0,19115,18962,19298,19378,19717,15630,1404,1130,600,861,313,0,112100,4308,0.0384299732381802,0.95575,718.0,18683.333333333332,0
20000,1,2,2,23,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
200000,1,3,2,52,0,0,0,0,0,0,110151,99530,98951,100914,103146,104993,3568,3585,3602,3848,3669,3784,617685,22056,0.03570752082372083,0.550755,3676.0,102947.5,0
180000,1,1,1,36,0,0,0,0,0,0,163736,116422,99278,95766,97753,95927,4655,2690,2067,2142,2217,1000,668882,14771,0.022083117799552087,0.9096444444444445,2461.8333333333335,111480.33333333333,0
50000,1,2,1,51,0,0,0,0,0,0,3347,3899,4503,5347,6375,7077,1000,1066,1300,1500,1200,134,30548,6200,0.2029592772030902,0.06694,1033.3333333333333,5091.333333333333,0
60000,1,3,1,55,3,2,2,0,0,0,60521,61450,57244,28853,29510,26547,2504,7,1200,1200,1100,1500,264125,7511,0.028437292948414575,1.0086833333333334,1251.8333333333333,44020.833333333336,3
30000,2,1,2,23,1,-2,-2,-2,-1,-1,4000,5645,3508,-27,13744,5906,5645,3508,27,13771,5911,3024,32776,31886,0.9728459848669758,0.13333333333333333,5314.333333333333,5462.666666666667,1
240000,1,1,2,41,1,-1,-1,0,0,-1,95,2622,3301,3164,360,1737,2622,3301,0,360,1737,924,11279,8944,0.7929781008954695,0.0003958333333333333,1490.6666666666667,1879.8333333333333,1
420000,1,2,1,34,0,0,0,0,0,0,253454,247743,229049,220951,210606,188108,9744,9553,7603,7830,7253,11326,1349911,53309,0.03949075161251371,0.6034619047619048,8884.833333333334,224985.16666666666,0
330000,1,3,1,46,0,0,0,0,0,0,227389,228719,229644,227587,227775,228203,8210,8095,8025,8175,8391,8200,1369317,49096,0.03585437119381414,0.6890575757575758,8182.666666666667,228219.5,0
30000,2,2,2,22,0,0,0,0,0,0,28452,26145,26712,25350,17603,-780,2000,1400,0,500,0,1560,123482,5460,0.044216970894543337,0.9484,910.0,20580.333333333332,0
240000,1,2,1,34,0,0,0,2,2,2,10674,12035,13681,13269,14158,13891,1500,1800,0,1000,0,327,77708,4627,0.05954341895300355,0.044475,771.1666666666666,12951.333333333334,2
150000,1,1,2,27,0,0,0,0,0,0,17444,19342,22000,24614,27200,30229,2500,3000,3000,3000,3500,5000,140829,20000,0.142016204048882,0.11629333333333333,3333.3333333333335,23471.5,0
210000,2,2,1,33,0,0,0,0,0,0,7166,7997,8792,9189,4404,5708,1500,1500,1000,500,2000,546,43256,7046,0.16289069724431293,0.03412380952380952,1174.3333333333333,7209.333333333333,0
50000,2,3,1,51,-1,-1,-1,-1,-2,-2,752,300,5880,0,0,0,300,5880,0,0,0,0,6932,6180,0.8915175995383727,0.01504,1030.0,1155.3333333333333,-1
50000,1,1,2,24,0,0,0,0,0,0,50801,50143,49586,19430,19375,18995,2360,1700,1000,900,870,2130,208330,8960,0.04300868813901022,1.01602,1493.3333333333333,34721.666666666664,0
240000,1,1,2,47,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
180000,1,2,2,28,-1,-1,-1,-1,-1,-1,1832,0,832,332,416,416,0,416,332,500,3500,832,3828,5580,1.457680250783699,0.010177777777777779,930.0,638.0,-1
