Actual_Digit,Predicted_Digit,Confidence
1,1,0.9923663
7,7,0.9999998
7,7,0.9900376
5,5,0.9968246
7,7,0.99999696
9,9,0.99977684
7,7,0.999091
1,1,0.9999289
9,9,0.9708938
2,2,0.99999934
1,1,0.9997207
4,4,0.9933302
2,2,0.99902266
9,9,0.9997119
2,2,0.99999994
0,0,0.9999967
4,4,0.99998623
9,9,0.9998236
1,1,0.9995865
4,4,0.9999941
8,8,0.9999992
1,1,0.99992055
8,8,0.9982472
4,4,0.999668
5,5,0.99995965
9,9,0.9999488
8,8,0.95372295
8,8,0.999957
3,3,0.9999743
7,7,0.99974024
6,6,0.9993872
0,0,0.9999992
0,0,0.9999172
3,3,0.9999952
0,0,0.9992133
2,2,0.94624615
6,6,0.5704258
6,6,0.9996885
4,4,0.93812895
9,9,0.8469841
3,5,0.8444451
3,3,0.8371035
3,3,0.99999815
2,2,0.99984074
3,3,0.9999992
9,9,0.9999401
1,1,0.99979687
2,2,0.9948467
6,6,0.9961431
8,8,0.9999992
0,0,0.999994
5,5,0.9914169
6,6,0.99999994
6,6,0.9998617
6,6,0.99999994
3,3,0.977023
8,8,0.9998436
8,8,0.9999849
2,2,0.9999803
7,7,0.9983924
5,5,0.9996784
8,8,0.9999322
9,9,0.99431187
6,6,0.9999996
1,1,0.9978908
8,8,0.9999953
4,4,0.9999482
1,1,0.99984646
2,2,0.9999934
5,5,0.99929714
9,9,0.9954446
1,1,0.9996449
9,9,0.99999183
7,7,0.9999986
5,5,0.9999562
4,4,0.9999986
0,0,0.9999717
8,8,0.9999971
9,9,0.9998928
9,9,0.9892612
1,1,0.9995268
0,0,0.9991633
5,5,0.9998231
2,2,0.96272707
3,3,0.99999994
7,7,0.9999984
8,8,0.6807469
9,9,0.9999824
4,4,0.8676592
0,0,0.99986196
6,6,0.99867046
3,3,0.99999994
9,9,0.99999815
5,5,0.9999154
2,2,0.99999994
1,1,0.9988781
3,3,0.9999879
1,1,0.9997374
3,3,0.9991139
6,6,0.997651
5,5,0.9999507
7,7,0.9998059
4,4,0.92561084
2,2,0.9999991
2,2,0.99999994
6,6,0.99999577
3,3,0.99975157
2,2,0.9999991
6,6,0.99999887
5,5,0.9999905
4,4,0.9997349
8,8,0.9998374
9,9,0.9947984
7,7,0.9994596
1,1,0.99433404
3,3,0.99963844
0,0,0.999999
3,3,0.99992424
8,8,0.9999587
3,3,0.99922067
1,1,0.9998804
9,9,0.9974364
3,3,0.999784
4,4,0.99985576
4,4,0.9999998
6,6,0.9999694
4,4,0.9999985
2,2,0.99968255
1,1,0.99989873
8,8,0.99992913
2,2,0.9999626
5,5,0.99999183
4,4,0.99998266
8,8,0.9875786
8,8,0.98901534
4,4,0.99998873
0,0,0.9999363
0,0,0.9999992
2,2,0.9984883
3,3,0.9998781
2,2,0.9999998
7,7,0.99758434
7,7,0.93931437
0,0,0.9848345
8,8,0.9999377
7,7,0.9999878
4,4,0.9999867
4,4,0.9999954
7,7,0.9964322
9,9,0.99912333
6,6,0.99999756
9,9,0.9994866
0,0,0.9999507
9,9,0.9999301
8,8,0.99997157
0,0,0.9999729
4,4,0.99961156
6,6,0.9994741
0,0,0.9998729
6,6,0.9999977
3,3,0.99996954
5,5,0.99997896
4,4,0.95601445
8,8,0.99988204
3,3,0.99999577
3,3,0.9999971
9,9,0.9990665
3,3,0.9999494
3,3,0.9999985
3,3,0.9976413
7,7,0.99998885
8,8,0.9999189
0,0,0.99997896
8,2,0.658442
2,2,0.82776517
1,1,0.9993587
7,7,0.9999997
0,0,0.99999136
6,6,0.9999717
5,5,0.99998003
4,4,0.99999803
3,3,0.9999997
8,8,0.9399209
0,0,0.9999998
9,9,0.9202364
6,6,0.9999928
3,3,0.9999853
8,8,0.99988395
0,0,0.996772
9,9,0.9996505
9,9,0.99996215
6,6,0.99999803
8,8,0.99913776
6,6,0.99999994
8,8,0.99969876
5,5,0.9999997
7,7,0.99823403
8,8,0.9999952
6,6,0.9999997
0,0,0.9999903
2,2,0.9999954
4,4,0.99922705
0,0,0.99990433
2,2,0.99999994
2,2,0.97311354
3,3,0.9999843
1,1,0.99972665
9,9,0.99990255
7,7,0.99967074
5,5,0.99987966
1,1,0.7575287
0,0,0.99999934
8,8,0.999994
4,4,0.99999946
6,6,0.9999996
2,2,0.99551606
6,6,0.9886009
7,7,0.9999973
9,9,0.9993195
3,3,0.9998162
2,2,0.954428
9,9,0.99978805
8,8,0.9999986
2,2,0.999999
2,2,0.9999998
9,9,0.99999684
2,2,0.9993062
7,7,0.99999994
3,3,0.99705064
5,5,0.99995536
9,9,0.99786866
1,1,0.9984933
8,8,0.99998754
0,0,0.9998684
2,2,0.9999986
0,0,0.999999
5,5,0.996231
2,2,0.71669453
1,1,0.99990326
3,3,0.9999985
7,7,0.9996742
6,6,0.9997084
7,7,0.99999696
1,1,0.99993986
2,2,0.9999841
5,5,0.9988342
8,8,0.99930996
0,0,0.9999992
3,3,0.99999744
7,7,0.999452
2,1,0.36703134
4,4,0.9999985
0,0,0.999917
9,9,0.99999696
1,1,0.9999084
8,8,0.9999971
6,6,0.99999994
7,7,0.99771994
7,7,0.986354
4,4,0.9999997
3,3,0.9999898
4,4,0.9996568
9,9,0.99996203
1,1,0.9999239
9,9,0.9995201
5,5,0.98515505
1,1,0.99979043
7,7,0.9999315
3,3,0.99994797
9,9,0.99997264
7,7,0.9998734
6,6,0.9999992
9,9,0.999738
1,1,0.99972725
3,3,0.99920946
7,7,0.68317664
8,8,0.9983665
3,3,0.9999996
3,3,0.99999624
6,6,0.99911106
7,7,0.98884827
2,2,0.99996656
8,8,0.99923503
5,5,0.999149
8,8,0.99997276
5,5,0.99995893
1,1,0.9996953
1,1,0.9967849
4,4,0.99999875
4,4,0.9998574
3,3,0.99897456
1,1,0.9997909
0,0,0.999996
7,7,0.9989815
7,7,0.9999668
0,0,0.99999136
7,7,0.9999849
9,9,0.99998945
4,4,0.97338605
4,4,0.9999699
8,8,0.9999891
5,5,0.9999971
5,5,0.99996156
4,4,0.99933213
0,0,0.9998794
8,8,0.99999934
2,2,0.99942386
1,1,0.87530005
0,0,0.69338566
8,8,0.9999648
4,4,0.99999946
5,5,0.6920419
0,0,0.9999898
4,4,0.99999934
0,0,0.9965125
6,6,0.99999195
1,1,0.9995362
7,5,0.75935465
3,3,0.9999997
2,2,0.9998224
6,6,0.9999797
7,7,0.99940836
2,2,0.9999986
6,6,0.99999875
9,9,0.9999804
3,3,0.999958
1,1,0.9997239
4,4,0.99998814
6,6,0.99995214
2,2,0.99069744
5,5,0.9999469
4,9,0.53429586
2,2,0.99995905
0,0,0.99999994
6,6,0.9999563
2,2,0.9999998
1,1,0.99968445
7,7,0.99935335
3,3,0.99999803
4,4,0.99981165
1,1,0.9994012
0,0,0.9999941
5,5,0.99999887
4,4,0.9999972
3,3,0.9999705
1,1,0.9998873
1,1,0.99931866
7,7,0.9999898
4,4,0.99999815
9,9,0.99989337
9,9,0.99974763
4,4,0.9830567
8,8,0.9982533
4,4,0.99989265
0,0,0.99998564
2,2,0.9999686
4,4,0.999993
5,5,0.9999986
1,1,0.9996674
1,1,0.9998966
6,6,0.9997728
4,4,0.99999636
7,7,0.9986621
1,1,0.9987638
9,9,0.99996847
4,4,0.9950156
2,2,0.9999266
4,4,0.9998997
1,1,0.99982715
5,5,0.9999984
5,5,0.99997586
3,3,0.9998491
8,8,0.9980962
3,3,0.9999829
1,1,0.9997432
4,4,0.99999493
5,5,0.99998707
6,6,0.9959256
8,8,0.999999
9,9,0.9997426
4,4,0.9989624
1,1,0.9987286
5,5,0.9998819
3,3,0.99999994
8,8,0.9999998
0,0,0.9999992
3,3,0.9985557
2,2,0.999999
5,5,0.9942963
1,1,0.999784
2,2,0.99999994
8,8,0.9991307
3,3,0.99996346
4,4,0.9995068
4,4,0.99999994
0,0,0.9999961
8,8,0.9999998
8,8,0.99999994
3,3,0.99999934
3,3,0.9999874
1,1,0.99760514
7,7,0.9998188
3,3,0.9999991
5,5,0.99999994
9,8,0.5761716
6,6,0.99999064
3,3,0.9998672
2,2,0.9999955
6,6,0.99986386
1,1,0.9987156
3,3,0.9999997
6,6,0.9999915
0,0,0.99996215
7,7,0.99999887
2,2,0.9990928
1,1,0.9999072
7,7,0.9999985
1,1,0.99989516
4,4,0.9908402
2,2,0.9997153
4,4,0.9504626
2,2,0.99997824
1,1,0.9987255
7,7,0.99991876
9,9,0.9909806
6,6,0.9991394
1,1,0.9996462
1,1,0.999876
2,2,0.99972486
4,4,0.99999934
8,8,0.95336163
1,1,0.99787146
7,7,0.9999998
7,7,0.9986944
4,4,0.9999998
8,8,0.66373324
0,0,0.9999855
7,7,0.82623386
3,3,0.9999986
1,1,0.9998603
3,3,0.9999996
1,1,0.99988085
0,0,0.9999973
7,7,0.9999866
7,7,0.9997158
0,0,0.9999915
3,3,0.9999997
5,5,0.99989563
5,5,0.99989945
2,2,0.9999977
7,7,0.9996132
6,6,0.99999994
6,6,0.9999986
9,9,0.9993492
2,2,0.9995174
8,8,0.99999744
3,3,0.99998134
5,5,0.99947256
2,2,0.99998873
2,2,0.99994534
5,5,0.999999
6,6,0.9921222
0,0,0.9999977
8,8,0.9999141
2,2,0.9999977
9,9,0.9466482
2,2,0.9996433
8,8,0.9999998
8,8,0.999952
8,8,0.9999712
8,8,0.9999984
7,7,0.9998974
4,4,0.9902634
9,7,0.6627381
3,3,0.525314
0,0,0.999988
6,6,0.9997151
6,6,0.9999992
3,3,0.9999991
2,2,0.9999693
1,1,0.9999197
3,3,0.99683684
2,2,0.9999748
2,2,0.9999996
9,9,0.99992365
3,3,0.9993382
0,0,0.98740196
0,0,0.99815357
5,5,0.9999996
7,7,0.9196307
8,8,0.999999
1,1,0.986877
4,4,0.99999386
4,4,0.9914134
6,6,0.9999322
0,0,0.9999754
2,2,0.9999996
9,9,0.99990934
1,1,0.999395
4,4,0.9999551
7,7,0.9997529
4,4,0.99999934
7,7,0.99996907
3,3,0.9999997
9,9,0.99994
8,8,0.9999992
8,8,0.999877
4,4,0.99889314
7,7,0.9999873
1,1,0.99893016
2,2,0.9999878
1,1,0.9992374
2,2,0.9999998
2,2,0.9995381
3,3,0.99999994
2,7,0.74810016
3,3,0.9999992
2,2,0.9540387
3,3,0.99999446
9,9,0.99921256
1,1,0.99947363
7,7,0.9976289
4,4,0.9999638
0,0,0.99986076
3,3,0.9999948
5,5,0.99999946
5,5,0.99997395
8,8,0.9759668
6,6,0.99999994
3,5,0.6610117
2,2,0.9956865
6,6,0.9975288
7,7,0.9999947
6,6,0.9999991
6,6,0.99739754
3,3,0.9893126
2,2,0.9999996
7,7,0.99956924
8,9,0.654935
1,1,0.99976754
1,1,0.9995753
7,7,0.99863213
5,5,0.9996977
6,6,0.99995023
4,4,0.9999761
9,9,0.99990815
5,5,0.99988276
1,1,0.9853541
3,3,0.99985504
3,3,0.9708971
4,4,0.9998069
7,7,0.9998112
8,8,0.9999984
9,9,0.98153675
1,1,0.9973968
1,1,0.99838024
6,6,0.96971434
9,9,0.97943896
1,1,0.99992853
4,4,0.999996
4,4,0.9898693
5,5,0.9999947
4,4,0.9999967
0,0,0.9999998
6,6,0.99999994
2,2,0.9999991
2,2,0.9998381
3,3,0.99994105
1,1,0.9992738
5,5,0.9999935
1,1,0.9995777
2,2,0.99999994
0,0,0.9999936
3,3,0.9943926
8,8,0.99999756
1,1,0.9996062
2,2,0.9998462
6,6,0.9999793
7,7,0.99991494
1,1,0.9975105
6,6,0.99998945
2,2,0.99992055
3,3,0.9999991
9,9,0.9954204
0,0,0.9999824
1,1,0.9986293
2,2,0.99861556
2,2,0.99999875
0,0,0.9999997
8,8,0.99971676
9,9,0.98305076
9,9,0.9980223
0,0,0.9998813
2,2,0.9890177
5,5,0.99884063
1,1,0.9984128
9,9,0.99977136
7,7,0.99894804
8,8,0.99977255
1,1,0.9996087
0,0,0.9999934
4,4,0.99992114
1,1,0.99983263
7,7,0.9970161
9,9,0.9979971
6,5,0.9713906
4,4,0.999603
2,2,0.9999991
6,6,0.9996767
8,8,0.9999986
1,1,0.9997109
3,3,0.99999636
7,7,0.99956113
5,5,0.99857295
4,4,0.9999996
4,4,0.9998812
1,1,0.9998792
8,8,0.9934849
1,1,0.99959046
3,3,0.9999841
8,8,0.99998873
1,1,0.9995572
2,2,0.9993828
5,5,0.99000794
8,8,0.8592549
0,0,0.9999866
6,6,0.99999744
2,2,0.99999744
1,1,0.9995757
1,1,0.99837124
7,3,0.58615947
1,1,0.99944365
5,5,0.99999994
3,3,0.99990875
4,4,0.9999886
6,6,0.95615065
9,9,0.959925
5,5,0.9999822
0,0,0.9999986
9,9,0.9999916
2,2,0.99999994
2,2,0.9938556
4,4,0.9999011
8,8,0.99988216
2,2,0.99999934
1,1,0.99716884
7,7,0.9998069
2,2,0.99956757
4,4,0.99999636
9,9,0.9997301
4,4,0.9999891
4,4,0.9999793
0,0,0.9999353
3,3,0.71369094
9,9,0.99970746
2,2,0.99999434
2,2,0.9999513
3,3,0.9999804
3,3,0.99972856
8,8,0.9298792
3,3,0.9998152
5,5,0.9999997
7,7,0.9999499
3,3,0.9127531
5,5,0.9999698
8,8,0.9999998
1,1,0.9990977
2,2,0.9998522
4,4,0.9999266
4,4,0.9997568
6,6,0.9999835
4,4,0.9998126
9,9,0.9991761
5,5,0.9987524
1,1,0.99972904
0,0,0.99999994
6,6,0.99998075
9,9,0.99992436
5,5,0.99992937
9,9,0.9995499
5,5,0.99916464
9,9,0.99710107
7,7,0.99934787
3,3,0.99993473
8,8,0.9999189
0,0,0.9999965
3,3,0.9999903
7,7,0.9999357
1,1,0.9988762
3,3,0.99993175
6,6,0.99988145
7,7,0.9999959
8,8,0.99983716
5,5,0.99999994
9,9,0.99961287
7,7,0.99998873
9,9,0.9998772
6,6,0.99999994
9,9,0.9984362
6,6,0.9995826
3,3,0.9999829
7,7,0.9999973
4,4,0.9999898
4,6,0.97826976
5,5,0.9999996
3,3,0.60067946
5,5,0.99997765
4,4,0.9998979
7,7,0.9997107
8,8,0.9998102
7,7,0.9993269
8,8,0.999978
0,0,0.9982233
7,7,0.99865633
6,6,0.99999934
8,8,0.9916093
8,8,0.99991935
7,7,0.99998254
3,3,0.99998516
3,3,0.99059385
1,1,0.99950737
9,9,0.99993926
5,5,0.9999115
2,2,0.9999998
7,7,0.9997804
3,3,0.99999946
5,5,0.9999737
1,1,0.99901766
1,1,0.99957174
2,2,0.9916438
1,1,0.9997171
4,4,0.9999986
7,7,0.99998873
4,4,0.9999977
7,7,0.9841011
5,5,0.99999887
4,4,0.9997883
5,5,0.99989206
4,4,0.9910397
0,0,0.9999972
8,8,0.99999887
3,3,0.9998467
6,6,0.9996916
9,9,0.99891084
6,6,0.9974872
0,0,0.99995714
2,2,0.99999255
7,7,0.9498653
4,4,0.9992809
4,4,0.99999994
4,4,0.9971328
4,4,0.99999946
6,6,0.9998288
6,6,0.99999994
4,4,0.99999326
7,7,0.99996716
9,9,0.9995765
3,3,0.9817037
4,4,0.9989403
5,5,0.9999953
5,5,0.9974211
8,8,0.9999998
7,7,0.99998504
3,3,0.9999991
7,7,0.99885076
2,2,0.9999986
7,7,0.9999247
0,0,0.99999815
2,2,0.9999971
4,4,0.6435854
1,1,0.9990815
1,1,0.99988323
6,6,0.91807663
6,6,0.58855015
9,9,0.99872094
2,2,0.99782234
8,8,0.99998003
7,7,0.99999994
2,2,0.99964976
0,0,0.99998635
1,1,0.9992912
5,5,0.99999744
0,0,0.9880957
9,9,0.9386084
1,1,0.9998181
7,7,0.9996973
0,0,0.999994
6,6,0.9999644
0,0,0.9999264
8,8,0.9999804
6,6,0.999888
8,8,0.9989743
1,1,0.9988612
8,8,0.9967122
0,0,0.99999934
3,3,0.9965941
3,3,0.99999994
7,7,0.98555994
2,2,0.99999994
3,3,0.99992615
6,6,0.989095
2,2,0.99999934
1,1,0.9997293
6,6,0.9804123
1,1,0.9998886
1,1,0.99728864
3,3,0.9999849
7,7,0.9910688
9,9,0.99337447
0,0,0.9999973
8,8,0.99996
0,0,0.999952
5,5,0.99999243
4,4,0.9999998
0,0,0.999957
2,2,0.96888626
8,8,0.9999996
7,2,0.9413648
2,2,0.9999884
9,9,0.9992893
8,8,0.9999936
4,4,0.9993294
0,0,0.99999505
9,4,0.8769426
5,5,0.99999803
8,8,0.9996254
5,5,0.9999314
1,1,0.9983209
2,2,0.9999066
1,1,0.9998942
3,3,0.9987745
1,1,0.99837315
7,7,0.9999588
4,4,0.54583985
5,5,0.99980664
7,7,0.9996223
2,2,0.99999994
0,0,0.99978137
9,5,0.89918363
8,8,0.9983729
8,8,0.9999959
6,6,0.9989025
2,2,0.99997014
5,5,0.9996784
4,4,0.9999935
1,1,0.99974084
9,9,0.99991935
2,2,0.9992114
1,1,0.9998238
5,5,0.98740435
8,8,0.99984145
7,7,0.58752626
0,0,0.99999875
2,2,0.99998933
4,4,0.9969174
4,4,0.9994308
3,3,0.9999333
6,6,0.9998922
8,8,0.9999997
8,8,0.999993
2,2,0.99993867
4,4,0.99798137
0,0,0.99999565
5,5,0.9999867
0,0,0.996031
4,4,0.97636825
4,4,0.9998806
7,7,0.9999948
9,9,0.99948436
3,3,0.9999998
4,4,0.986465
1,1,0.9997914
5,5,0.9992838
9,9,0.9997833
7,7,0.9991564
3,3,0.9999998
5,5,0.9999952
8,8,0.9999744
8,8,0.9999806
0,0,0.9999555
5,5,0.99391687
3,3,0.6264055
3,3,0.9999942
6,6,0.9868308
6,6,0.99999994
0,0,0.99999934
1,1,0.9998288
6,6,0.99827105
0,0,0.99999815
3,3,0.99997634
5,3,0.46052322
4,4,0.99986124
4,4,0.99966836
1,1,0.9985621
2,2,0.99999315
9,9,0.9999947
1,1,0.9999332
4,4,0.99999756
6,6,0.9999985
9,9,0.9999936
9,9,0.99996966
3,3,0.9990191
9,9,0.99834466
8,8,0.9999034
4,4,0.9999934
4,4,0.99999994
3,3,0.9999055
1,1,0.99996
3,3,0.9999997
1,1,0.9993079
8,0,0.65711695
8,8,0.99918014
7,7,0.99990076
9,9,0.999903
4,4,0.9999996
8,8,0.99946606
8,8,0.9999103
7,7,0.7988371
9,9,0.99972224
7,7,0.8526316
1,1,0.99982643
4,4,0.99955124
5,5,0.99875796
6,6,0.9999998
0,0,0.9999996
5,5,0.9999005
2,2,0.99975777
2,2,0.9999762
2,2,0.9896257
1,1,0.9996194
5,5,0.9997252
5,5,0.9998653
2,2,0.99999934
4,4,0.9999998
9,9,0.9992273
6,6,0.98909503
2,2,0.99823666
7,7,0.9999742
7,7,0.9998441
2,2,0.9999853
2,2,0.9958883
1,1,0.99990624
1,1,0.9994513
2,2,0.9997935
8,8,0.99994403
3,3,0.9999184
7,7,0.98929304
2,2,0.99757814
4,4,0.99978447
1,1,0.9997883
7,7,0.9999803
1,1,0.9994043
7,7,0.9999898
6,6,0.99999994
7,7,0.99998397
8,8,0.9677261
2,2,0.9999487
7,7,0.9999973
3,3,0.9999997
1,1,0.9953145
7,7,0.99999195
5,5,0.9999699
8,8,0.9999996
2,2,0.99996287
6,6,0.9999998
2,2,0.9999668
2,2,0.9994205
5,5,0.9999998
6,6,0.9998224
5,5,0.76151294
0,0,0.9999997
9,9,0.9998615
2,2,0.9999661
4,4,0.99999994
3,3,0.9997704
3,3,0.9999204
9,9,0.99738234
7,7,0.999973
6,6,0.99999684
6,6,0.99999684
8,8,0.9999984
0,0,0.99999875
4,4,0.9999805
1,1,0.99879265
5,3,0.8562807
8,8,0.99903923
2,2,0.97523
9,9,0.99930143
1,1,0.99944866
8,8,0.9999463
0,0,0.9999928
6,6,0.99990124
7,7,0.99982285
